,cause,avoidable,men,women,people,Males,Females,Persons,Males.1,Females.1,Persons.1,header
1237,Single delivery by forceps and vacuum extractor (O81),x,0,0,0,,,,,,,False
1238,Single delivery by caesarean section (O82),x,0,0,0,,,,,,,False
1239,Other assisted single delivery (O83),x,0,0,0,,,,,,,False
1240,Multiple delivery (O84),x,0,0,0,,,,,,,False
1242,Puerperal sepsis (O85),x,0,0,0,,,,,,,False
1243,Other puerperal infections (O86),x,0,0,0,,,,,,,False
1244,Venous complications in the puerperium (O87),x,0,0,0,,,,,,,False
1245,Obstetric embolism (O88),x,0,1,1,,,,,,,False
1246,Complications of anaesthesia during the puerperium (O89),x,0,0,0,,,,,,,False
1247,"Complications of the puerperium, not elsewhere classified (O90)",x,0,2,2,,,,,,,False
1248,Infections of breast associated with childbirth (O91),x,0,0,0,,,,,,,False
1249,Other disorders of breast and lactation associated with childbirth (O92),x,0,0,0,,,,,,,False
1251,Obstetric death of unspecified cause (O95),x,0,3,3,,,,,,,False
1252,Death from any obstetric cause occurring more than 42 days but less than one year after delivery (O96),x,0,0,0,,,,,,,False
1253,Death from sequelae of direct obstetric causes (O97),x,0,2,2,,,,,,,False
1254,"Maternal infectious and parasitic diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium (O98)",x,0,0,0,,,,,,,False
1255,"Other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium (O99)",x,0,1,1,,,,,,,False
1258,Fetus and newborn affected by maternal conditions that may be unrelated to present pregnancy (P00),x,17,12,29,,,0.1,,,,False
1259,Fetus and newborn affected by maternal complications of pregnancy (P01),x,51,42,93,0.4,0.4,0.4,,,,False
1260,"Fetus and newborn affected by complications of placenta, cord and membranes (P02)",x,42,29,71,0.3,0.2,0.3,,,,False
1261,Fetus and newborn affected by other complications of labour and delivery (P03),x,17,13,30,,,0.1,,,,False
1262,Fetus and newborn affected by noxious influences transmitted via placenta or breast milk (P04),x,0,1,1,,,,,,,False
1264,Slow fetal growth and fetal malnutrition (P05),x,6,3,9,,,,,,,False
1265,"Disorders related to short gestation and low birth weight, not elsewhere classified (P07)",x,58,31,89,0.5,0.3,0.4,,,,False
1266,Disorders related to long gestation and high birth weight (P08),x,0,0,0,,,,,,,False
1268,Intracranial laceration and haemorrhage due to birth injury (P10),x,0,0,0,,,,,,,False
1269,Other birth injuries to central nervous system (P11),x,2,0,2,,,,,,,False
1270,Birth injury to scalp (P12),x,0,0,0,,,,,,,False
1271,Birth injury to skeleton (P13),x,1,0,1,,,,,,,False
1272,Birth injury to peripheral nervous system (P14),x,0,0,0,,,,,,,False
1273,Other birth injuries (P15),x,0,0,0,,,,,,,False
1275,Intrauterine hypoxia (P20),x,2,0,2,,,,,,,False
1276,Birth asphyxia (P21),x,2,1,3,,,,,,,False
1277,Respiratory distress of newborn (P22),x,2,0,2,,,,,,,False
1278,Congenital pneumonia (P23),x,0,0,0,,,,,,,False
1279,Neonatal aspiration syndromes (P24),x,1,1,2,,,,,,,False
1280,Interstitial emphysema and related conditions originating in the perinatal period (P25),x,0,1,1,,,,,,,False
1281,Pulmonary haemorrhage originating in the perinatal period (P26),x,2,2,4,,,,,,,False
1282,Chronic respiratory disease originating in the perinatal period (P27),x,6,1,7,,,,,,,False
1283,Other respiratory conditions originating in the perinatal period (P28),x,8,2,10,,,,,,,False
1284,Cardiovascular disorders originating in the perinatal period (P29),x,7,9,16,,,,,,,False
1286,Congenital viral diseases (P35),x,4,2,6,,,,,,,False
1287,Bacterial sepsis of newborn (P36),x,13,12,25,,,0.1,,,,False
1288,Other congenital infectious and parasitic diseases (P37),x,1,2,3,,,,,,,False
1289,Omphalitis of newborn with or without mild haemorrhage (P38),x,0,0,0,,,,,,,False
1290,Other infections specific to the perinatal period (P39),x,0,2,2,,,,,,,False
1292,Fetal blood loss (P50),x,0,3,3,,,,,,,False
1293,Umbilical haemorrhage of newborn (P51),x,0,0,0,,,,,,,False
1294,Intracranial nontraumatic haemorrhage of fetus and newborn (P52),x,15,8,23,,,0.1,,,,False
1295,Haemorrhagic disease of fetus and newborn (P53),x,0,0,0,,,,,,,False
1296,Other neonatal haemorrhages (P54),x,0,0,0,,,,,,,False
1297,Haemolytic disease of fetus and newborn (P55),x,0,0,0,,,,,,,False
1298,Hydrops fetalis due to haemolytic disease (P56),x,0,0,0,,,,,,,False
1299,Kernicterus (P57),x,0,0,0,,,,,,,False
1300,Neonatal jaundice due to other excessive haemolysis (P58),x,0,0,0,,,,,,,False
1301,Neonatal jaundice from other and unspecified causes (P59),x,0,0,0,,,,,,,False
1302,Disseminated intravascular coagulation of fetus and newborn (P60),x,0,0,0,,,,,,,False
1303,Other perinatal haematological disorders (P61),x,2,1,3,,,,,,,False
1305,Transitory disorders of carbohydrate metabolism specific to fetus and newborn (P70),x,0,0,0,,,,,,,False
1306,Transitory neonatal disorders of calcium and magnesium metabolism (P71),x,0,0,0,,,,,,,False
1307,Other transitory neonatal endocrine disorders (P72),x,0,0,0,,,,,,,False
1308,Other transitory neonatal electrolyte and metabolic disturbances (P74),x,0,0,0,,,,,,,False
1310,Other intestinal obstruction of newborn (P76),x,1,0,1,,,,,,,False
1311,Necrotizing enterocolitis of fetus and newborn (P77),x,8,11,19,,,,,,,False
1312,Other perinatal digestive system disorders (P78),x,1,2,3,,,,,,,False
1314,Hypothermia of newborn (P80),x,0,0,0,,,,,,,False
1315,Other disturbances of temperature regulation of newborn (P81),x,0,0,0,,,,,,,False
1316,Other conditions of integument specific to fetus and newborn (P83),x,2,5,7,,,,,,,False
1318,Convulsions of newborn (P90),x,0,0,0,,,,,,,False
1319,Other disturbances of cerebral status of newborn (P91),x,19,12,31,,,0.1,,,,False
1320,Feeding problems of newborn (P92),x,0,0,0,,,,,,,False
1321,Reactions and intoxications due to drugs administered to fetus and newborn (P93),x,0,0,0,,,,,,,False
1322,Disorders of muscle tone of newborn (P94),x,0,1,1,,,,,,,False
1323,Fetal death of unspecified cause (P95),x,0,0,0,,,,,,,False
1324,Other conditions originating in the perinatal period (P96),x,21,27,48,0.2,0.2,0.2,,,,False
1327,Anencephaly and similar malformations (Q00),,6,4,10,,,,,,,False
1328,Encephalocele (Q01),,1,1,2,,,,,,,False
1329,Microcephaly (Q02),,2,6,8,,,,,339.0,465.0,False
1330,Congenital hydrocephalus (Q03),,2,1,3,,,,,,,False
1331,Other congenital malformations of brain (Q04),,16,20,36,,0.2,0.2,419.0,625.0,1030.0,False
1332,Spina bifida (Q05),,10,12,22,,,0.1,,269.0,334.0,False
1333,Other congenital malformations of spinal cord (Q06),,0,0,0,,,,,,,False
1334,Other congenital malformations of nervous system (Q07),,3,1,4,,,,,,,False
1336,"Congenital malformations of eyelid, lacrimal apparatus and orbit (Q10)",,0,0,0,,,,,,,False
1337,"Anophthalmos, microphthalmos and macrophthalmos (Q11)",,0,0,0,,,,,,,False
1338,Congenital lens malformations (Q12),,0,0,0,,,,,,,False
1339,Congenital malformations of anterior segment of eye (Q13),,0,0,0,,,,,,,False
1340,Congenital malformations of posterior segment of eye (Q14),,0,0,0,,,,,,,False
1341,Other congenital malformations of eye (Q15),,0,0,0,,,,,,,False
1342,Congenital malformations of ear causing impairment of hearing (Q16),,0,0,0,,,,,,,False
1343,Other congenital malformations of ear (Q17),,0,0,0,,,,,,,False
1344,Other congenital malformations of face and neck (Q18),,0,0,0,,,,,,,False
1346,Congenital malformations of cardiac chambers and connections (Q20),,11,6,17,,,,,,259.0,False
1347,Congenital malformations of cardiac septa (Q21),,13,16,29,,,0.1,292.0,212.0,506.0,False
1348,Congenital malformations of pulmonary and tricuspid valves (Q22),,3,2,5,,,,,,,False
1349,Congenital malformations of aortic and mitral valves (Q23),,24,14,38,0.2,,0.1,261.0,,274.0,False
1350,Other congenital malformations of heart (Q24),,32,17,49,0.3,,0.2,515.0,514.0,1030.0,False
1351,Congenital malformations of great arteries (Q25),,8,12,20,,,0.1,,250.0,414.0,False
1352,Congenital malformations of great veins (Q26),,6,0,6,,,,,,,False
1353,Other congenital malformations of peripheral vascular system (Q27),,5,7,12,,,,,,167.0,False
1354,Other congenital malformations of circulatory system (Q28),,10,3,13,,,,182.0,,230.0,False
1356,Congenital malformations of nose (Q30),,0,0,0,,,,,,,False
1357,Congenital malformations of larynx (Q31),,1,0,1,,,,,,,False
1358,Congenital malformations of trachea and bronchus (Q32),,0,0,0,,,,,,,False
1359,Congenital malformations of lung (Q33),,3,2,5,,,,,,,False
1360,Other congenital malformations of respiratory system (Q34),,0,0,0,,,,,,,False
1362,Cleft palate (Q35),,0,0,0,,,,,,,False
1363,Cleft lip (Q36),,0,0,0,,,,,,,False
1364,Cleft palate with cleft lip (Q37),,0,0,0,,,,,,,False
1366,"Other congenital malformations of tongue, mouth and pharynx (Q38)",,0,0,0,,,,,,,False
1367,Congenital malformations of oesophagus (Q39),,3,2,5,,,,,,,False
1368,Other congenital malformations of upper alimentary tract (Q40),,0,0,0,,,,,,,False
1369,"Congenital absence, atresia and stenosis of small intestine (Q41)",,0,0,0,,,,,,,False
1370,"Congenital absence, atresia and stenosis of large intestine (Q42)",,0,0,0,,,,,,,False
1371,Other congenital malformations of intestine (Q43),,5,2,7,,,,,,,False
1372,"Congenital malformations of gallbladder, bile ducts and liver (Q44)",,1,4,5,,,,,,,False
1373,Other congenital malformations of digestive system (Q45),,0,0,0,,,,,,,False
1375,"Congenital malformations of ovaries, fallopian tubes and broad ligaments (Q50)",,0,0,0,,,,,,,False
1376,Congenital malformations of uterus and cervix (Q51),,0,0,0,,,,,,,False
1377,Other congenital malformations of female genitalia (Q52),,0,0,0,,,,,,,False
1378,Undescended testicle (Q53),,0,0,0,,,,,,,False
1379,Hypospadias (Q54),,0,0,0,,,,,,,False
1380,Other congenital malformations of male genital organs (Q55),,0,0,0,,,,,,,False
1381,Indeterminate sex and pseudohermaphroditism (Q56),,0,0,0,,,,,,,False
1383,Renal agenesis and other reduction defects of kidney (Q60),,7,5,12,,,,,,,False
1384,Cystic kidney disease (Q61),,31,28,59,0.2,0.2,0.2,258.0,101.0,359.0,False
1385,Congenital obstructive defects of renal pelvis and congenital malformations of ureter (Q62),,0,1,1,,,,,,,False
1386,Other congenital malformations of kidney (Q63),,0,0,0,,,,,,,False
1387,Other congenital malformations of urinary system (Q64),,2,0,2,,,,,,,False
1389,Congenital deformities of hip (Q65),,0,0,0,,,,,,,False
1390,Congenital deformities of feet (Q66),,1,0,1,,,,,,,False
1391,"Congenital musculoskeletal deformities of head, face, spine and chest (Q67)",,2,0,2,,,,,,,False
1392,Other congenital musculoskeletal deformities (Q68),,0,0,0,,,,,,,False
1393,Polydactyly (Q69),,0,0,0,,,,,,,False
1394,Syndactyly (Q70),,0,0,0,,,,,,,False
1395,Reduction defects of upper limb (Q71),,0,0,0,,,,,,,False
1396,Reduction defects of lower limb (Q72),,0,0,0,,,,,,,False
1397,Reduction defects of unspecified limb (Q73),,0,0,0,,,,,,,False
1398,Other congenital malformations of limb(s) (Q74),,0,0,0,,,,,,,False
1399,Other congenital malformations of skull and face bones (Q75),,0,0,0,,,,,,,False
1400,Congenital malformations of spine and bony thorax (Q76),,0,1,1,,,,,,,False
1401,Osteochondrodysplasia with defects of growth of tubular bones and spine (Q77),,0,2,2,,,,,,,False
1402,Other osteochondrodysplasias (Q78),,4,6,10,,,,,,,False
1403,"Congenital malformations of the musculoskeletal system, not elsewhere classified (Q79)",,4,4,8,,,,,,,False
1405,Congenital ichthyosis (Q80),,0,0,0,,,,,,,False
1406,Epidermolysis bullosa (Q81),,0,0,0,,,,,,,False
1407,Other congenital malformations of skin (Q82),,0,1,1,,,,,,,False
1408,Congenital malformations of breast (Q83),,0,0,0,,,,,,,False
1409,Other congenital malformations of integument (Q84),,0,0,0,,,,,,,False
1410,"Phakomatoses, not elsewhere classified (Q85)",,7,6,13,,,,170.0,186.0,356.0,False
1411,"Congenital malformation syndromes due to known exogenous causes, not elsewhere classified (Q86)",,0,0,0,,,,,,,False
1412,Other specified congenital malformation syndromes affecting multiple systems (Q87),,21,8,29,0.2,,0.1,475.0,193.0,666.0,False
1413,"Other congenital malformations, not elsewhere classified (Q89)",,23,9,32,0.2,,0.1,,,,False
1415,Down syndrome (Q90),,64,53,117,0.5,0.4,0.4,1251.0,962.0,2212.0,False
1416,Edwards syndrome and Patau syndrome (Q91),,8,10,18,,,,,,,False
1417,"Other trisomies and partial trisomies of the autosomes, not elsewhere classified (Q92)",,5,2,7,,,,,,,False
1418,"Monosomies and deletions from the autosomes, not elsewhere classified (Q93)",,5,11,16,,,,,334.0,428.0,False
1419,"Balanced rearrangements and structural markers, not elsewhere classified (Q95)",,0,0,0,,,,,,,False
1420,Turner syndrome (Q96),,0,1,1,,,,,,,False
1421,"Other sex chromosome abnormalities, female phenotype, not elsewhere classified (Q97)",,0,0,0,,,,,,,False
1422,"Other sex chromosome abnormalities, male phenotype, not elsewhere classified (Q98)",,3,0,3,,,,,,,False
1423,"Other chromosome abnormalities, not elsewhere classified (Q99)",,3,2,5,,,,,,,False
1426,Abnormalities of heart beat (R00),,0,0,0,,,,,,,False
1427,Cardiac murmurs and other cardiac sounds (R01),,0,0,0,,,,,,,False
1428,"Gangrene, not elsewhere classified (R02)",,1,4,5,,,,,,,False
1429,"Abnormal blood-pressure reading, without diagnosis (R03)",,0,0,0,,,,,,,False
1430,Haemorrhage from respiratory passages (R04),,0,0,0,,,,,,,False
1431,Cough (R05),,0,1,1,,,,,,,False
1432,Abnormalities of breathing (R06),,1,1,2,,,,,,,False
1433,Pain in throat and chest (R07),,0,0,0,,,,,,,False
1434,Other symptoms and signs involving the circulatory and respiratory systems (R09),,17,27,44,,0.1,0.1,71.0,,79.0,False
1436,Abdominal and pelvic pain (R10),,0,0,0,,,,,,,False
1437,Nausea and vomiting (R11),,2,1,3,,,,,,,False
1438,Heartburn (R12),,0,0,0,,,,,,,False
1439,Dysphagia (R13),,3,3,6,,,,,,,False
1440,Flatulence and related conditions (R14),,0,0,0,,,,,,,False
1441,Faecal incontinence (R15),,0,0,0,,,,,,,False
1442,"Hepatomegaly and splenomegaly, not elsewhere classified (R16)",,0,0,0,,,,,,,False
1443,Unspecified jaundice (R17),,0,0,0,,,,,,,False
1444,Ascites (R18),,0,0,0,,,,,,,False
1445,Other symptoms and signs involving the digestive system and abdomen (R19),,3,12,15,,,,,,,False
1447,Disturbances of skin sensation (R20),,0,0,0,,,,,,,False
1448,Rash and other nonspecific skin eruption (R21),,0,0,0,,,,,,,False
1449,"Localized swelling, mass and lump of skin and subcutaneous tissue (R22)",,0,0,0,,,,,,,False
1450,Other skin changes (R23),,0,0,0,,,,,,,False
1452,Abnormal involuntary movements (R25),,0,0,0,,,,,,,False
1453,Abnormalities of gait and mobility (R26),,0,0,0,,,,,,,False
1454,Other lack of coordination (R27),,0,0,0,,,,,,,False
1455,Other symptoms and signs involving the nervous and musculoskeletal systems (R29),,2,1,3,,,,,,,False
1457,Pain associated with micturition (R30),,0,0,0,,,,,,,False
1458,Unspecified haematuria (R31),,0,0,0,,,,,,,False
1459,Unspecified urinary incontinence (R32),,0,0,0,,,,,,,False
1460,Retention of urine (R33),,0,0,0,,,,,,,False
1461,Anuria and oliguria (R34),,0,0,0,,,,,,,False
1462,Polyuria (R35),,0,0,0,,,,,,,False
1463,Urethral discharge (R36),,0,0,0,,,,,,,False
1464,Other symptoms and signs involving the urinary system (R39),,0,0,0,,,,,,,False
1466,"Somnolence, stupor and coma (R40)",,1,1,2,,,,,,,False
1467,Other symptoms and signs involving cognitive functions and awareness (R41),,5,9,14,,,,,,,False
1468,Dizziness and giddiness (R42),,0,0,0,,,,,,,False
1469,Disturbances of smell and taste (R43),,0,0,0,,,,,,,False
1470,Other symptoms and signs involving general sensations and perceptions (R44),,0,0,0,,,,,,,False
1471,Symptoms and signs involving emotional state (R45),,0,0,0,,,,,,,False
1472,Symptoms and signs involving appearance and behaviour (R46),,0,0,0,,,,,,,False
1474,"Speech disturbances, not elsewhere classified (R47)",,1,0,1,,,,,,,False
1475,"Dyslexia and other symbolic dysfunctions, not elsewhere classified (R48)",,0,0,0,,,,,,,False
1476,Voice disturbances (R49),,0,0,0,,,,,,,False
1478,Fever of unknown origin (R50),,1,0,1,,,,,,,False
1479,Headache (R51),,0,0,0,,,,,,,False
1480,"Pain, not elsewhere classified (R52)",,0,0,0,,,,,,,False
1481,Malaise and fatigue (R53),,24,78,102,0.2,0.4,0.3,,,25.0,False
1482,Senility (R54),,72,223,295,0.5,1.0,0.8,,,,False
1483,Syncope and collapse (R55),,0,0,0,,,,,,,False
1484,"Convulsions, not elsewhere classified (R56)",,6,8,14,,,,132.0,192.0,322.0,False
1485,"Shock, not elsewhere classified (R57)",,9,10,19,,,,,,25.0,False
1486,"Haemorrhage, not elsewhere classified (R58)",,5,4,9,,,,,,,False
1487,Enlarged lymph nodes (R59),,0,0,0,,,,,,,False
1488,"Oedema, not elsewhere classified (R60)",,1,0,1,,,,,,,False
1489,Hyperhidrosis (R61),,0,0,0,,,,,,,False
1490,Lack of expected normal physiological development (R62),,0,0,0,,,,,,,False
1491,Symptoms and signs concerning food and fluid intake (R63),,4,8,12,,,,,,,False
1492,Cachexia (R64),,5,9,14,,,,,,,False
1493,Systemic Inflammatory Response Syndrome [SIRS] (R65),,0,0,0,,,,,,,False
1494,Other general symptoms and signs (R68),,87,134,221,0.6,0.6,0.6,182.0,36.0,215.0,False
1495,Unknown and unspecified causes of morbidity (R69),,0,0,0,,,,,,,False
1497,Elevated erythrocyte sedimentation rate and abnormality of plasma viscosity (R70),,0,0,0,,,,,,,False
1498,Abnormality of red blood cells (R71),,0,0,0,,,,,,,False
1499,"Abnormality of white blood cells, not elsewhere classified (R72)",,0,0,0,,,,,,,False
1500,Elevated blood glucose level (R73),,0,0,0,,,,,,,False
1501,Abnormal serum enzyme levels (R74),,0,0,0,,,,,,,False
1502,Laboratory evidence of human immunodeficiency virus [HIV] (R75),,0,0,0,,,,,,,False
1503,Other abnormal immunological findings in serum (R76),,0,0,0,,,,,,,False
1504,Other abnormalities of plasma proteins (R77),,0,0,0,,,,,,,False
1505,"Findings of drugs and other substances, not normally found in blood (R78)",,0,0,0,,,,,,,False
1506,Other abnormal findings of blood chemistry (R79),,0,0,0,,,,,,,False
1508,Isolated proteinuria (R80),,0,0,0,,,,,,,False
1509,Glycosuria (R81),,0,0,0,,,,,,,False
1510,Other abnormal findings in urine (R82),,0,0,0,,,,,,,False
1512,Abnormal findings in cerebrospinal fluid (R83),,0,0,0,,,,,,,False
1513,Abnormal findings in specimens from respiratory organs and thorax (R84),,0,0,0,,,,,,,False
1514,Abnormal findings in specimens from digestive organs and abdominal cavity (R85),,0,0,0,,,,,,,False
1515,Abnormal findings in specimens from male genital organs (R86),,0,0,0,,,,,,,False
1516,Abnormal findings in specimens from female genital organs (R87),,0,0,0,,,,,,,False
1517,"Abnormal findings in specimens from other organs, systems and tissues (R89)",,0,0,0,,,,,,,False
1519,Abnormal findings on diagnostic imaging of central nervous system (R90),,0,0,0,,,,,,,False
1520,Abnormal findings on diagnostic imaging of lung (R91),,0,0,0,,,,,,,False
1521,Abnormal findings on diagnostic imaging of breast (R92),,0,0,0,,,,,,,False
1522,Abnormal findings on diagnostic imaging of other body structures (R93),,0,0,0,,,,,,,False
1523,Abnormal results of function studies (R94),,0,0,0,,,,,,,False
1525,Sudden infant death syndrome (R95),,16,8,24,,,0.1,,,,False
1526,"Other sudden death, cause unknown (R96)",,0,0,0,,,,,,,False
1527,Unattended death (R98),,0,0,0,,,,,,,False
1528,Other ill-defined and unspecified causes of mortality (R99),,728,483,1211,5.5,3.2,4.3,13571.0,6509.0,20028.0,False
1532,Pedestrian injured in collision with pedal cycle (V01),x,0,0,0,,,,,,,False
1533,Pedestrian injured in collision with two- or three-wheeled motor vehicle (V02),x,1,1,2,,,,,,,False
1534,"Pedestrian injured in collision with car, pick-up truck or van (V03)",x,107,62,169,0.8,0.4,0.6,3014.0,1714.0,4741.0,False
1535,Pedestrian injured in collision with heavy transport vehicle or bus (V04),x,20,10,30,0.2,,0.1,662.0,242.0,907.0,False
1536,Pedestrian injured in collision with railway train or railway vehicle (V05),x,7,0,7,,,,333.0,,335.0,False
1537,Pedestrian injured in collision with other nonmotor vehicle (V06),x,0,0,0,,,,,,,False
1538,Pedestrian injured in other and unspecified transport accidents (V09),x,17,2,19,,,,199.0,,277.0,False
1540,Pedal cyclist injured in collision with pedestrian or animal (V10),x,2,0,2,,,,,,,False
1541,Pedal cyclist injured in collision with other pedal cycle (V11),x,1,0,1,,,,,,,False
1542,Pedal cyclist injured in collision with two- or three-wheeled motor vehicle (V12),x,0,0,0,,,,,,,False
1543,"Pedal cyclist injured in collision with car, pick-up truck or van (V13)",x,12,3,15,,,,359.0,,445.0,False
1544,Pedal cyclist injured in collision with heavy transport vehicle or bus (V14),x,8,1,9,,,,320.0,,369.0,False
1545,Pedal cyclist injured in collision with railway train or railway vehicle (V15),x,0,0,0,,,,,,,False
1546,Pedal cyclist injured in collision with other nonmotor vehicle (V16),x,0,0,0,,,,,,,False
1547,Pedal cyclist injured in collision with fixed or stationary object (V17),x,5,0,5,,,,100.0,,99.0,False
1548,Pedal cyclist injured in noncollision transport accident (V18),x,5,0,5,,,,,,,False
1549,Pedal cyclist injured in other and unspecified transport accidents (V19),x,2,0,2,,,,,,,False
1551,Motorcycle rider injured in collision with pedestrian or animal (V20),x,4,0,4,,,,,,,False
1552,Motorcycle rider injured in collision with pedal cycle (V21),x,0,0,0,,,,,,,False
1553,Motorcycle rider injured in collision with two- or three-wheeled motor vehicle (V22),x,7,0,7,,,,205.0,,206.0,False
1554,"Motorcycle rider injured in collision with car, pick-up truck or van (V23)",x,66,4,70,0.5,,0.3,2421.0,,2646.0,False
1555,Motorcycle rider injured in collision with heavy transport vehicle or bus (V24),x,14,0,14,,,,482.0,,483.0,False
1556,Motorcycle rider injured in collision with railway train or railway vehicle (V25),x,0,0,0,,,,,,,False
1557,Motorcycle rider injured in collision with other nonmotor vehicle (V26),x,1,0,1,,,,,,,False
1558,Motorcycle rider injured in collision with fixed or stationary object (V27),x,75,2,77,0.6,,0.3,2754.0,,2787.0,False
1559,Motorcycle rider injured in noncollision transport accident (V28),x,26,2,28,0.2,,0.1,815.0,,940.0,False
1560,Motorcycle rider injured in other and unspecified transport accidents (V29),x,12,2,14,,,,436.0,,471.0,False
1562,Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal (V30),x,0,0,0,,,,,,,False
1563,Occupant of three-wheeled motor vehicle injured in collision with pedal cycle (V31),x,0,0,0,,,,,,,False
1564,Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle (V32),x,0,0,0,,,,,,,False
1565,"Occupant of three-wheeled motor vehicle injured in collision with car, pick-up truck or van (V33)",x,0,0,0,,,,,,,False
1566,Occupant of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus (V34),x,0,0,0,,,,,,,False
1567,Occupant of three-wheeled motor vehicle injured in collision with railway train or railway vehicle (V35),x,0,0,0,,,,,,,False
1568,Occupant of three-wheeled motor vehicle injured in collision with other nonmotor vehicle (V36),x,0,0,0,,,,,,,False
1569,Occupant of three-wheeled motor vehicle injured in collision with fixed or stationary object (V37),x,0,0,0,,,,,,,False
1570,Occupant of three-wheeled motor vehicle injured in noncollision transport accident (V38),x,0,0,0,,,,,,,False
1571,Occupant of three-wheeled motor vehicle injured in other and unspecified transport accidents (V39),x,0,0,0,,,,,,,False
1573,Car occupant injured in collision with pedestrian or animal (V40),x,0,0,0,,,,,,,False
1574,Car occupant injured in collision with pedal cycle (V41),x,0,0,0,,,,,,,False
1575,Car occupant injured in collision with two- or three-wheeled motor vehicle (V42),x,0,0,0,,,,,,,False
1576,"Car occupant injured in collision with car, pick-up truck or van (V43)",x,125,90,215,1.0,0.7,0.8,3667.0,2712.0,6373.0,False
1577,Car occupant injured in collision with heavy transport vehicle or bus (V44),x,51,27,78,0.4,0.2,0.3,1644.0,1107.0,2746.0,False
1578,Car occupant injured in collision with railway train or railway vehicle (V45),x,2,0,2,,,,,,,False
1579,Car occupant injured in collision with other nonmotor vehicle (V46),x,2,2,4,,,,,,,False
1580,Car occupant injured in collision with fixed or stationary object (V47),x,198,59,257,1.6,0.5,1.0,8045.0,2183.0,10282.0,False
1581,Car occupant injured in noncollision transport accident (V48),x,74,26,100,0.6,0.2,0.4,3088.0,997.0,4099.0,False
1582,Car occupant injured in other and unspecified transport accidents (V49),x,12,10,22,,,0.1,505.0,281.0,786.0,False
1584,Occupant of pick-up truck or van injured in collision with pedestrian or animal (V50),x,0,0,0,,,,,,,False
1585,Occupant of pick-up truck or van injured in collision with pedal cycle (V51),x,0,0,0,,,,,,,False
1586,Occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle (V52),x,0,0,0,,,,,,,False
1587,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van (V53)",x,2,7,9,,,,,221.0,243.0,False
1588,Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus (V54),x,1,0,1,,,,,,,False
1589,Occupant of pick-up truck or van injured in collision with railway train or railway vehicle (V55),x,0,0,0,,,,,,,False
1590,Occupant of pick-up truck or van injured in collision with other nonmotor vehicle (V56),x,0,0,0,,,,,,,False
1591,Occupant of pick-up truck or van injured in collision with fixed or stationary object (V57),x,3,0,3,,,,,,,False
1592,Occupant of pick-up truck or van injured in noncollision transport accident (V58),x,1,0,1,,,,,,,False
1593,Occupant of pick-up truck or van injured in other and unspecified transport accidents (V59),x,0,0,0,,,,,,,False
1595,Occupant of heavy transport vehicle injured in collision with pedestrian or animal (V60),x,2,0,2,,,,,,,False
1596,Occupant of heavy transport vehicle injured in collision with pedal cycle (V61),x,0,0,0,,,,,,,False
1597,Occupant of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle (V62),x,0,0,0,,,,,,,False
1598,"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van (V63)",x,3,0,3,,,,,,,False
1599,Occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus (V64),x,8,1,9,,,,271.0,,314.0,False
1600,Occupant of heavy transport vehicle injured in collision with railway train or railway vehicle (V65),x,0,0,0,,,,,,,False
1601,Occupant of heavy transport vehicle injured in collision with other nonmotor vehicle (V66),x,0,0,0,,,,,,,False
1602,Occupant of heavy transport vehicle injured in collision with fixed or stationary object (V67),x,12,0,12,,,,387.0,,385.0,False
1603,Occupant of heavy transport vehicle injured in noncollision transport accident (V68),x,9,1,10,,,,369.0,,380.0,False
1604,Occupant of heavy transport vehicle injured in other and unspecified transport accidents (V69),x,0,0,0,,,,,,,False
1606,Bus occupant injured in collision with pedestrian or animal (V70),x,0,0,0,,,,,,,False
1607,Bus occupant injured in collision with pedal cycle (V71),x,0,0,0,,,,,,,False
1608,Bus occupant injured in collision with two- or three-wheeled motor vehicle (V72),x,0,0,0,,,,,,,False
1609,"Bus occupant injured in collision with car, pick-up truck or van (V73)",x,0,0,0,,,,,,,False
1610,Bus occupant injured in collision with heavy transport vehicle or bus (V74),x,0,0,0,,,,,,,False
1611,Bus occupant injured in collision with railway train or railway vehicle (V75),x,0,0,0,,,,,,,False
1612,Bus occupant injured in collision with other nonmotor vehicle (V76),x,0,0,0,,,,,,,False
1613,Bus occupant injured in collision with fixed or stationary object (V77),x,0,0,0,,,,,,,False
1614,Bus occupant injured in noncollision transport accident (V78),x,1,1,2,,,,,,,False
1615,Bus occupant injured in other and unspecified transport accidents (V79),x,0,0,0,,,,,,,False
1617,Animal-rider or occupant of animal-drawn vehicle injured in transport accident (V80),x,3,1,4,,,,,,,False
1618,Occupant of railway train or railway vehicle injured in transport accident (V81),x,1,0,1,,,,,,,False
