cause,avoidable,men,women,people,Males,Females,Persons,Males,Females,Persons
Other systemic involvement of connective tissue (M35),,12,27,39,np,0.2,0.1,114,129,243
Dorsopathies (M40-M54),,39,62,101,0.3,0.3,0.3,179,278,457
Deforming dorsopathies (M40-M43),,8,18,26,np,np,0.1,105,131,236
Kyphosis and lordosis (M40),,4,2,6,np,np,np,np,np,np
Scoliosis (M41),,4,14,18,np,np,np,np,118,221
Spinal osteochondrosis (M42),,0,0,0,—,—,—,—,—,—
Other deforming dorsopathies (M43),,0,2,2,—,np,np,—,np,np
Spondylopathies (M45-M49),,27,36,63,0.2,0.2,0.2,65,126,192
Ankylosing spondylitis (M45),,1,2,3,np,np,np,np,—,np
Other inflammatory spondylopathies (M46),,15,20,35,np,0.1,0.1,58,99,157
Spondylosis (M47),,6,9,15,np,np,np,—,np,np
Other spondylopathies (M48),,5,5,10,np,np,np,—,—,—
Other dorsopathies (M50-M54),,4,8,12,np,np,np,np,np,np
Cervical disc disorders (M50),,0,0,0,—,—,—,—,—,—
Other intervertebral disc disorders (M51),,1,2,3,np,np,np,—,np,np
"Other dorsopathies, not elsewhere classified (M53)",,0,0,0,—,—,—,—,—,—
Dorsalgia (M54),,3,6,9,np,np,np,np,np,np
Soft tissue disorders (M60-M79),,61,64,125,0.4,0.4,0.4,495,488,979
Disorders of muscles (M60-M63),,29,37,66,0.2,0.2,0.2,128,214,339
Myositis (M60),,6,6,12,np,np,np,np,np,177
Calcification and ossification of muscle (M61),,0,0,0,—,—,—,—,—,—
Other disorders of muscle (M62),,23,31,54,0.2,0.2,0.2,72,93,162
Disorders of synovium and tendon (M65-M68),,0,0,0,—,—,—,—,—,—
Synovitis and tenosynovitis (M65),,0,0,0,—,—,—,—,—,—
Spontaneous rupture of synovium and tendon (M66),,0,0,0,—,—,—,—,—,—
Other disorders of synovium and tendon (M67),,0,0,0,—,—,—,—,—,—
Other soft tissue disorders (M70-M79),,32,27,59,0.2,0.2,0.2,367,273,640
"Soft tissue disorders related to use, overuse and pressure (M70)",,1,0,1,np,—,np,—,—,—
Other bursopathies (M71),,1,0,1,np,—,np,np,—,np
Fibroblastic disorders (M72),,24,19,43,0.2,np,0.1,289,199,489
Shoulder lesions (M75),,0,0,0,—,—,—,—,—,—
"Enthesopathies of lower limb, excluding foot (M76)",,0,0,0,—,—,—,—,—,—
Other enthesopathies (M77),,0,0,0,—,—,—,—,—,—
"Other soft tissue disorders, not elsewhere classified (M79)",,6,8,14,np,np,np,np,75,125
Osteopathies and chondropathies (M80-M94),,133,235,368,1.0,1.2,1.1,414,402,808
Disorders of bone density and structure (M80-M85),,39,169,208,0.3,0.8,0.6,89,78,167
Osteoporosis with pathological fracture (M80),,18,64,82,np,0.3,0.2,np,np,19
Osteoporosis without pathological fracture (M81),,14,89,103,np,0.4,0.3,np,np,np
Adult osteomalacia (M83),,0,0,0,—,—,—,—,—,—
Disorders of continuity of bone (M84),,7,15,22,np,np,0.1,np,np,81
Other disorders of bone density and structure (M85),,0,1,1,—,np,np,—,—,—
Other osteopathies (M86-M90),,93,65,158,0.7,0.4,0.5,325,313,630
Osteomyelitis (M86),,89,58,147,0.7,0.3,0.5,298,303,593
Osteonecrosis (M87),,1,2,3,np,np,np,—,—,—
Paget disease of bone [osteitis deformans] (M88),,0,5,5,—,np,np,—,np,np
Other disorders of bone (M89),,3,0,3,np,—,np,np,—,np
Chondropathies (M91-M94),,1,1,2,np,np,np,—,np,np
Juvenile osteochondrosis of hip and pelvis (M91),,0,0,0,—,—,—,—,—,—
Other juvenile osteochondrosis (M92),,0,0,0,—,—,—,—,—,—
Other osteochondropathies (M93),,0,0,0,—,—,—,—,—,—
Other disorders of cartilage (M94),,1,1,2,np,np,np,—,np,np
Other disorders of the musculoskeletal system and connective tissue (M95-M99),,0,0,0,—,—,—,—,—,—
Other acquired deformities of musculoskeletal system and connective tissue (M95),,0,0,0,—,—,—,—,—,—
"Postprocedural musculoskeletal disorders, not elsewhere classified (M96)",,0,0,0,—,—,—,—,—,—
"Biomechanical lesions, not elsewhere classified (M99)",,0,0,0,—,—,—,—,—,—
CHAPTER XIV Diseases of the genitourinary system (N00-N99),,"1,619","1,881","3,500",11.8,9.7,10.7,"3,913","3,035","6,941"
Glomerular diseases (N00-N08),,47,31,78,0.3,0.2,0.2,169,131,300
Acute nephritic syndrome (N00),,10,8,18,np,np,np,np,np,np
Rapidly progressive nephritic syndrome (N01),,0,0,0,—,—,—,—,—,—
Recurrent and persistent haematuria (N02),,11,3,14,np,np,np,78,np,136
Chronic nephritic syndrome (N03),,7,6,13,np,np,np,np,np,np
Nephrotic syndrome (N04),,6,2,8,np,np,np,np,—,np
Unspecified nephritic syndrome (N05),,13,12,25,np,np,0.1,33,np,72
Isolated proteinuria with specified morphological lesion (N06),,0,0,0,—,—,—,—,—,—
"Hereditary nephropathy, not elsewhere classified (N07)",,0,0,0,—,—,—,—,—,—
Renal tubulo-interstitial diseases (N10-N16),,57,77,134,0.4,0.4,0.4,284,392,676
Acute tubulo-interstitial nephritis (N10),,3,4,7,np,np,np,np,np,103
Chronic tubulo-interstitial nephritis (N11),,3,0,3,np,—,np,np,—,np
"Tubulo-interstitial nephritis, not specified as acute or chronic (N12)",,13,22,35,np,0.1,0.1,94,93,188
Obstructive and reflux uropathy (N13),,35,37,72,0.3,0.2,0.2,126,194,319
Drug- and heavy-metal-induced tubulo-interstitial and tubular conditions (N14),,2,11,13,np,np,np,np,np,35
Other renal tubulo-interstitial diseases (N15),,1,3,4,np,np,np,—,np,np
Renal failure (N17-N19),x,"1,013","1,109","2,122",7.4,5.7,6.5,"2,386","1,705","4,082"
Acute renal failure (N17),x,137,191,328,1.0,1.0,1.0,227,379,607
Chronic kidney disease (N18),x,686,669,"1,355",5.0,3.5,4.2,"1,791","1,121","2,902"
Unspecified kidney failure (N19),x,190,249,439,1.4,1.2,1.3,369,205,573
Urolithiasis (N20-N23),,21,35,56,0.2,0.2,0.2,44,43,86
Calculus of kidney and ureter (N20),,21,35,56,0.2,0.2,0.2,44,43,86
Calculus of lower urinary tract (N21),,0,0,0,—,—,—,—,—,—
Unspecified renal colic (N23),,0,0,0,—,—,—,—,—,—
Other disorders of kidney and ureter (N25-N29),,32,26,58,0.2,0.1,0.2,232,171,403
Disorders resulting from impaired renal tubular function (N25),,0,3,3,—,np,np,—,np,np
Unspecified contracted kidney (N26),,10,5,15,np,np,np,95,np,130
Small kidney of unknown cause (N27),,0,0,0,—,—,—,—,—,—
"Other disorders of kidney and ureter, not elsewhere classified (N28)",,22,18,40,0.2,np,0.1,138,128,266
Other diseases of urinary system (N30-N39),,355,581,936,2.6,2.9,2.8,673,483,"1,159"
Cystitis (N30),,4,2,6,np,np,np,np,np,np
"Neuromuscular dysfunction of bladder, not elsewhere classified (N31)",,5,4,9,np,np,np,np,np,94
Other disorders of bladder (N32),,10,7,17,np,np,np,np,np,23
Urethritis and urethral syndrome (N34),,0,0,0,—,—,—,—,—,—
Urethral stricture (N35),,4,0,4,np,—,np,—,—,—
Other disorders of urethra (N36),,1,1,2,np,np,np,np,—,np
Other disorders of urinary system (N39),,331,567,898,2.4,2.8,2.7,550,457,1008
Diseases of male genital organs (N40-N51),,94,0,94,0.7,—,0.3,125,—,122
Hyperplasia of prostate (N40),,64,0,64,0.5,—,0.2,21,—,20
Inflammatory diseases of prostate (N41),,8,0,8,np,—,np,np,—,np
Other disorders of prostate (N42),,4,0,4,np,—,np,np,—,np
Hydrocele and spermatocele (N43),,0,0,0,—,—,—,—,—,—
Torsion of testis (N44),,1,0,1,np,—,np,np,—,np
Orchitis and epididymitis (N45),,4,0,4,np,—,np,np,—,np
Male infertility (N46),,0,0,0,—,—,—,—,—,—
"Redundant prepuce, phimosis and paraphimosis (N47)",,0,0,0,—,—,—,—,—,—
Other disorders of penis (N48),,0,0,0,—,—,—,—,—,—
"Inflammatory disorders of male genital organs, not elsewhere classified (N49)",,11,0,11,np,—,np,69,—,68
Other disorders of male genital organs (N50),,2,0,2,np,—,np,—,—,—
Disorders of breast (N60-N64),,0,1,1,—,np,np,—,np,np
Benign mammary dysplasia (N60),,0,0,0,—,—,—,—,—,—
Inflammatory disorders of breast (N61),,0,1,1,—,np,np,—,np,np
Hypertrophy of breast (N62),,0,0,0,—,—,—,—,—,—
Unspecified lump in breast (N63),,0,0,0,—,—,—,—,—,—
Other disorders of breast (N64),,0,0,0,—,—,—,—,—,—
Inflammatory diseases of female pelvic organs (N70-N77),,0,7,7,—,np,np,—,45,45
Salpingitis and oophoritis (N70),,0,1,1,—,np,np,—,np,np
"Inflammatory disease of uterus, except cervix (N71)",,0,0,0,—,—,—,—,—,—
Inflammatory disease of cervix uteri (N72),,0,0,0,—,—,—,—,—,—
Other female pelvic inflammatory diseases (N73),,0,4,4,—,np,np,—,np,np
Diseases of Bartholin gland (N75),,0,0,0,—,—,—,—,—,—
Other inflammation of vagina and vulva (N76),,0,2,2,—,np,np,—,np,np
Noninflammatory disorders of female genital tract (N80-N98),,0,14,14,—,np,np,—,np,np
Endometriosis (N80),,0,0,0,—,—,—,—,—,—
Female genital prolapse (N81),,0,3,3,—,np,np,—,np,np
Fistulae involving female genital tract (N82),,0,2,2,—,np,np,—,np,np
"Noninflammatory disorders of ovary, fallopian tube and broad ligament (N83)",,0,4,4,—,np,np,—,np,np
Polyp of female genital tract (N84),,0,0,0,—,—,—,—,—,—
"Other noninflammatory disorders of uterus, except cervix (N85)",,0,4,4,—,np,np,—,np,np
Erosion and ectropion of cervix uteri (N86),,0,0,0,—,—,—,—,—,—
Dysplasia of cervix uteri (N87),,0,0,0,—,—,—,—,—,—
Other noninflammatory disorders of cervix uteri (N88),,0,0,0,—,—,—,—,—,—
Other noninflammatory disorders of vagina (N89),,0,0,0,—,—,—,—,—,—
Other noninflammatory disorders of vulva and perineum (N90),,0,0,0,—,—,—,—,—,—
"Absent, scanty and rare menstruation (N91)",,0,0,0,—,—,—,—,—,—
"Excessive, frequent and irregular menstruation (N92)",,0,0,0,—,—,—,—,—,—
Other abnormal uterine and vaginal bleeding (N93),,0,1,1,—,np,np,—,—,—
Pain and other conditions associated with female genital organs and menstrual cycle (N94),,0,0,0,—,—,—,—,—,—
Menopausal and other perimenopausal disorders (N95),,0,0,0,—,—,—,—,—,—
Habitual aborter (N96),,0,0,0,—,—,—,—,—,—
Female infertility (N97),,0,0,0,—,—,—,—,—,—
Complications associated with artificial fertilization (N98),,0,0,0,—,—,—,—,—,—
Other disorders of the genitourinary system (N99-N99),,0,0,0,—,—,—,—,—,—
"Postprocedural disorders of genitourinary system, not elsewhere classified (N99)",,0,0,0,—,—,—,—,—,—
"CHAPTER XV Pregnancy, childbirth and the puerperium (O00-O99)",x,0,15,15,—,np,np,—,687,687
Pregnancy with abortive outcome (O00-O08),x,0,1,1,—,np,np,—,np,np
Ectopic pregnancy (O00),x,0,0,0,—,—,—,—,—,—
Hydatidiform mole (O01),x,0,1,1,—,np,np,—,np,np
Other abnormal products of conception (O02),x,0,0,0,—,—,—,—,—,—
Spontaneous abortion (O03),x,0,0,0,—,—,—,—,—,—
Medical abortion (O04),x,0,0,0,—,—,—,—,—,—
Other abortion (O05),x,0,0,0,—,—,—,—,—,—
Unspecified abortion (O06),x,0,0,0,—,—,—,—,—,—
Failed attempted abortion (O07),x,0,0,0,—,—,—,—,—,—
Complications following abortion and ectopic and molar pregnancy (O08),x,0,0,0,—,—,—,—,—,—
"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium (O10-O16)",x,0,0,0,—,—,—,—,—,—
"Pre-existing hypertension complicating pregnancy, childbirth and the puerperium (O10)",x,0,0,0,—,—,—,—,—,—
Pre-existing hypertensive disorder with superimposed proteinuria (O11),x,0,0,0,—,—,—,—,—,—
Gestational [pregnancy-induced] oedema and proteinuria without hypertension (O12),x,0,0,0,—,—,—,—,—,—
Gestational [pregnancy-induced] hypertension without significant proteinuria (O13),x,0,0,0,—,—,—,—,—,—
Gestational [pregnancy-induced] hypertension with significant proteinuria (O14),x,0,0,0,—,—,—,—,—,—
Eclampsia (O15),x,0,0,0,—,—,—,—,—,—
Unspecified maternal hypertension (O16),x,0,0,0,—,—,—,—,—,—
Other maternal disorders predominantly related to pregnancy (O20-O29),x,0,1,1,—,np,np,—,np,np
Haemorrhage in early pregnancy (O20),x,0,0,0,—,—,—,—,—,—
Excessive vomiting in pregnancy (O21),x,0,0,0,—,—,—,—,—,—
Venous complications in pregnancy (O22),x,0,0,0,—,—,—,—,—,—
Infections of genitourinary tract in pregnancy (O23),x,0,0,0,—,—,—,—,—,—
Diabetes mellitus in pregnancy (O24),x,0,0,0,—,—,—,—,—,—
Malnutrition in pregnancy (O25),x,0,0,0,—,—,—,—,—,—
Maternal care for other conditions predominantly related to pregnancy (O26),x,0,1,1,—,np,np,—,np,np
Abnormal findings on antenatal screening of mother (O28),x,0,0,0,—,—,—,—,—,—
Complications of anaesthesia during pregnancy (O29),x,0,0,0,—,—,—,—,—,—
Maternal care related to the fetus and amniotic cavity and possible delivery problems (O30-O48),x,0,2,2,—,np,np,—,np,np
Multiple gestation (O30),x,0,0,0,—,—,—,—,—,—
Complications specific to multiple gestation (O31),x,0,0,0,—,—,—,—,—,—
Maternal care for known or suspected malpresentation of fetus (O32),x,0,0,0,—,—,—,—,—,—
Maternal care for known or suspected disproportion (O33),x,0,0,0,—,—,—,—,—,—
Maternal care for known or suspected abnormality of pelvic organs (O34),x,0,0,0,—,—,—,—,—,—
Maternal care for known or suspected fetal abnormality and damage (O35),x,0,0,0,—,—,—,—,—,—
Maternal care for other known or suspected fetal problems (O36),x,0,0,0,—,—,—,—,—,—
Polyhydramnios (O40),x,0,0,0,—,—,—,—,—,—
Other disorders of amniotic fluid and membranes (O41),x,0,0,0,—,—,—,—,—,—
Premature rupture of membranes (O42),x,0,1,1,—,np,np,—,np,np
Placental disorders (O43),x,0,0,0,—,—,—,—,—,—
Placenta praevia (O44),x,0,0,0,—,—,—,—,—,—
Premature separation of placenta [abruptio placentae] (O45),x,0,1,1,—,np,np,—,np,np
"Antepartum haemorrhage, not elsewhere classified (O46)",x,0,0,0,—,—,—,—,—,—
False labour (O47),x,0,0,0,—,—,—,—,—,—
Prolonged pregnancy (O48),x,0,0,0,—,—,—,—,—,—
Complications of labour and delivery (O60-O75),x,0,2,2,—,np,np,—,np,np
Preterm labour and delivery (O60),x,0,0,0,—,—,—,—,—,—
Failed induction of labour (O61),x,0,0,0,—,—,—,—,—,—
Abnormalities of forces of labour (O62),x,0,0,0,—,—,—,—,—,—
Long labour (O63),x,0,0,0,—,—,—,—,—,—
Obstructed labour due to malposition and malpresentation of fetus (O64),x,0,0,0,—,—,—,—,—,—
Obstructed labour due to maternal pelvic abnormality (O65),x,0,0,0,—,—,—,—,—,—
Other obstructed labour (O66),x,0,0,0,—,—,—,—,—,—
"Labour and delivery complicated by intrapartum haemorrhage, not elsewhere classified (O67)",x,0,1,1,—,np,np,—,np,np
Labour and delivery complicated by fetal stress [distress] (O68),x,0,0,0,—,—,—,—,—,—
Labour and delivery complicated by umbilical cord complications (O69),x,0,0,0,—,—,—,—,—,—
Perineal laceration during delivery (O70),x,0,0,0,—,—,—,—,—,—
Other obstetric trauma (O71),x,0,0,0,—,—,—,—,—,—
Postpartum haemorrhage (O72),x,0,1,1,—,np,np,—,np,np
"Retained placenta and membranes, without haemorrhage (O73)",x,0,0,0,—,—,—,—,—,—
Complications of anaesthesia during labour and delivery (O74),x,0,0,0,—,—,—,—,—,—
"Other complications of labour and delivery, not elsewhere classified (O75)",x,0,0,0,—,—,—,—,—,—
Delivery (O80-O84),x,0,0,0,—,—,—,—,—,—
Single spontaneous delivery (O80),x,0,0,0,—,—,—,—,—,—
Single delivery by forceps and vacuum extractor (O81),x,0,0,0,—,—,—,—,—,—
Single delivery by caesarean section (O82),x,0,0,0,—,—,—,—,—,—
Other assisted single delivery (O83),x,0,0,0,—,—,—,—,—,—
Multiple delivery (O84),x,0,0,0,—,—,—,—,—,—
Complications predominantly related to the puerperium (O85-O92),x,0,3,3,—,np,np,—,np,np
Puerperal sepsis (O85),x,0,0,0,—,—,—,—,—,—
Other puerperal infections (O86),x,0,0,0,—,—,—,—,—,—
Venous complications in the puerperium (O87),x,0,0,0,—,—,—,—,—,—
Obstetric embolism (O88),x,0,1,1,—,np,np,—,np,np
Complications of anaesthesia during the puerperium (O89),x,0,0,0,—,—,—,—,—,—
"Complications of the puerperium, not elsewhere classified (O90)",x,0,2,2,—,np,np,—,np,np
Infections of breast associated with childbirth (O91),x,0,0,0,—,—,—,—,—,—
Other disorders of breast and lactation associated with childbirth (O92),x,0,0,0,—,—,—,—,—,—
Other obstetric conditions (O95-O99),x,0,6,6,—,np,np,—,275,276
Obstetric death of unspecified cause (O95),x,0,3,3,—,np,np,—,np,np
Death from any obstetric cause occurring more than 42 days but less than one year after delivery (O96),x,0,0,0,—,—,—,—,—,—
Death from sequelae of direct obstetric causes (O97),x,0,2,2,—,np,np,—,np,np
"Maternal infectious and parasitic diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium (O98)",x,0,0,0,—,—,—,—,—,—
"Other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium (O99)",x,0,1,1,—,np,np,—,np,np
CHAPTER XVI Certain conditions originating in the perinatal period (P00-P96),x,311,236,547,2.5,2.0,2.3,np,np,331
"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery (P00-P04)",x,127,97,224,1.0,0.8,0.9,np,—,np
Fetus and newborn affected by maternal conditions that may be unrelated to present pregnancy (P00),x,17,12,29,np,np,0.1,np,—,np
Fetus and newborn affected by maternal complications of pregnancy (P01),x,51,42,93,0.4,0.4,0.4,—,—,—
"Fetus and newborn affected by complications of placenta, cord and membranes (P02)",x,42,29,71,0.3,0.2,0.3,—,—,—
Fetus and newborn affected by other complications of labour and delivery (P03),x,17,13,30,np,np,0.1,—,—,—
Fetus and newborn affected by noxious influences transmitted via placenta or breast milk (P04),x,0,1,1,—,np,np,—,—,—
Disorders related to length of gestation and fetal growth (P05-P08),x,64,34,98,0.5,0.3,0.4,np,—,np
Slow fetal growth and fetal malnutrition (P05),x,6,3,9,np,np,np,—,—,—
"Disorders related to short gestation and low birth weight, not elsewhere classified (P07)",x,58,31,89,0.5,0.3,0.4,np,—,np
Disorders related to long gestation and high birth weight (P08),x,0,0,0,—,—,—,—,—,—
Birth trauma (P10-P15),x,3,0,3,np,—,np,—,—,—
Intracranial laceration and haemorrhage due to birth injury (P10),x,0,0,0,—,—,—,—,—,—
Other birth injuries to central nervous system (P11),x,2,0,2,np,—,np,—,—,—
Birth injury to scalp (P12),x,0,0,0,—,—,—,—,—,—
Birth injury to skeleton (P13),x,1,0,1,np,—,np,—,—,—
Birth injury to peripheral nervous system (P14),x,0,0,0,—,—,—,—,—,—
Other birth injuries (P15),x,0,0,0,—,—,—,—,—,—
Respiratory and cardiovascular disorders specific to the perinatal period (P20-P29),x,30,17,47,0.2,np,0.2,np,—,np
Intrauterine hypoxia (P20),x,2,0,2,np,—,np,—,—,—
Birth asphyxia (P21),x,2,1,3,np,np,np,np,—,np
Respiratory distress of newborn (P22),x,2,0,2,np,—,np,—,—,—
Congenital pneumonia (P23),x,0,0,0,—,—,—,—,—,—
Neonatal aspiration syndromes (P24),x,1,1,2,np,np,np,—,—,—
Interstitial emphysema and related conditions originating in the perinatal period (P25),x,0,1,1,—,np,np,—,—,—
Pulmonary haemorrhage originating in the perinatal period (P26),x,2,2,4,np,np,np,—,—,—
Chronic respiratory disease originating in the perinatal period (P27),x,6,1,7,np,np,np,—,—,—
Other respiratory conditions originating in the perinatal period (P28),x,8,2,10,np,np,np,—,—,—
Cardiovascular disorders originating in the perinatal period (P29),x,7,9,16,np,np,np,—,—,—
Infections specific to the perinatal period (P35-P39),x,18,18,36,np,np,0.1,np,—,np
Congenital viral diseases (P35),x,4,2,6,np,np,np,np,—,np
Bacterial sepsis of newborn (P36),x,13,12,25,np,np,0.1,—,—,—
Other congenital infectious and parasitic diseases (P37),x,1,2,3,np,np,np,—,—,—
Omphalitis of newborn with or without mild haemorrhage (P38),x,0,0,0,—,—,—,—,—,—
Other infections specific to the perinatal period (P39),x,0,2,2,—,np,np,—,—,—
Haemorrhagic and haematological disorders of fetus and newborn (P50-P61),x,17,12,29,np,np,0.1,—,—,—
Fetal blood loss (P50),x,0,3,3,—,np,np,—,—,—
Umbilical haemorrhage of newborn (P51),x,0,0,0,—,—,—,—,—,—
Intracranial nontraumatic haemorrhage of fetus and newborn (P52),x,15,8,23,np,np,0.1,—,—,—
Haemorrhagic disease of fetus and newborn (P53),x,0,0,0,—,—,—,—,—,—
Other neonatal haemorrhages (P54),x,0,0,0,—,—,—,—,—,—
Haemolytic disease of fetus and newborn (P55),x,0,0,0,—,—,—,—,—,—
Hydrops fetalis due to haemolytic disease (P56),x,0,0,0,—,—,—,—,—,—
Kernicterus (P57),x,0,0,0,—,—,—,—,—,—
Neonatal jaundice due to other excessive haemolysis (P58),x,0,0,0,—,—,—,—,—,—
Neonatal jaundice from other and unspecified causes (P59),x,0,0,0,—,—,—,—,—,—
Disseminated intravascular coagulation of fetus and newborn (P60),x,0,0,0,—,—,—,—,—,—
Other perinatal haematological disorders (P61),x,2,1,3,np,np,np,—,—,—
Transitory endocrine and metabolic disorders specific to fetus and newborn (P70-P74),x,0,0,0,—,—,—,—,—,—
Transitory disorders of carbohydrate metabolism specific to fetus and newborn (P70),x,0,0,0,—,—,—,—,—,—
Transitory neonatal disorders of calcium and magnesium metabolism (P71),x,0,0,0,—,—,—,—,—,—
Other transitory neonatal endocrine disorders (P72),x,0,0,0,—,—,—,—,—,—
Other transitory neonatal electrolyte and metabolic disturbances (P74),x,0,0,0,—,—,—,—,—,—
Digestive system disorders of fetus and newborn (P75-P78),x,10,13,23,np,np,0.1,—,—,—
Other intestinal obstruction of newborn (P76),x,1,0,1,np,—,np,—,—,—
Necrotizing enterocolitis of fetus and newborn (P77),x,8,11,19,np,np,np,—,—,—
Other perinatal digestive system disorders (P78),x,1,2,3,np,np,np,—,—,—
Conditions involving the integument and temperature regulation of fetus and newborn (P80-P83),x,2,5,7,np,np,np,—,—,—
Hypothermia of newborn (P80),x,0,0,0,—,—,—,—,—,—
Other disturbances of temperature regulation of newborn (P81),x,0,0,0,—,—,—,—,—,—
Other conditions of integument specific to fetus and newborn (P83),x,2,5,7,np,np,np,—,—,—
Other disorders originating in the perinatal period (P90-P96),x,40,40,80,0.3,0.3,0.3,—,np,np
Convulsions of newborn (P90),x,0,0,0,—,—,—,—,—,—
Other disturbances of cerebral status of newborn (P91),x,19,12,31,np,np,0.1,—,—,—
Feeding problems of newborn (P92),x,0,0,0,—,—,—,—,—,—
Reactions and intoxications due to drugs administered to fetus and newborn (P93),x,0,0,0,—,—,—,—,—,—
Disorders of muscle tone of newborn (P94),x,0,1,1,—,np,np,—,np,np
Fetal death of unspecified cause (P95),x,0,0,0,—,—,—,—,—,—
Other conditions originating in the perinatal period (P96),x,21,27,48,0.2,0.2,0.2,—,—,—
"CHAPTER XVII Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",,355,282,637,2.8,2.2,2.5,"5,030","4,731","9,733"
Congenital malformations of the nervous system (Q00-Q07),,40,45,85,0.3,0.4,0.4,614,1282,"1,878"
Anencephaly and similar malformations (Q00),,6,4,10,np,np,np,—,—,—
Encephalocele (Q01),,1,1,2,np,np,np,—,—,—
Microcephaly (Q02),,2,6,8,np,np,np,np,339,465
Congenital hydrocephalus (Q03),,2,1,3,np,np,np,—,—,—
Other congenital malformations of brain (Q04),,16,20,36,np,0.2,0.2,419,625,1030
Spina bifida (Q05),,10,12,22,np,np,0.1,np,269,334
Other congenital malformations of spinal cord (Q06),,0,0,0,—,—,—,—,—,—
Other congenital malformations of nervous system (Q07),,3,1,4,np,np,np,—,np,np
"Congenital malformations of eye, ear, face and neck (Q10-Q18)",,0,0,0,—,—,—,—,—,—
"Congenital malformations of eyelid, lacrimal apparatus and orbit (Q10)",,0,0,0,—,—,—,—,—,—
"Anophthalmos, microphthalmos and macrophthalmos (Q11)",,0,0,0,—,—,—,—,—,—
Congenital lens malformations (Q12),,0,0,0,—,—,—,—,—,—
Congenital malformations of anterior segment of eye (Q13),,0,0,0,—,—,—,—,—,—
Congenital malformations of posterior segment of eye (Q14),,0,0,0,—,—,—,—,—,—
Other congenital malformations of eye (Q15),,0,0,0,—,—,—,—,—,—
Congenital malformations of ear causing impairment of hearing (Q16),,0,0,0,—,—,—,—,—,—
Other congenital malformations of ear (Q17),,0,0,0,—,—,—,—,—,—
Other congenital malformations of face and neck (Q18),,0,0,0,—,—,—,—,—,—
Congenital malformations of the circulatory system (Q20-Q28),,112,77,189,0.9,0.6,0.7,"1,761",1209,"2,969"
Congenital malformations of cardiac chambers and connections (Q20),,11,6,17,np,np,np,np,np,259
Congenital malformations of cardiac septa (Q21),,13,16,29,np,np,0.1,292,212,506
Congenital malformations of pulmonary and tricuspid valves (Q22),,3,2,5,np,np,np,np,—,np
Congenital malformations of aortic and mitral valves (Q23),,24,14,38,0.2,np,0.1,261,np,274
Other congenital malformations of heart (Q24),,32,17,49,0.3,np,0.2,515,514,"1,030"
Congenital malformations of great arteries (Q25),,8,12,20,np,np,0.1,np,250,414
Congenital malformations of great veins (Q26),,6,0,6,np,—,np,np,—,np
Other congenital malformations of peripheral vascular system (Q27),,5,7,12,np,np,np,np,np,167
Other congenital malformations of circulatory system (Q28),,10,3,13,np,np,np,182,np,230
Congenital malformations of the respiratory system (Q30-Q34),,4,2,6,np,np,np,—,—,—
Congenital malformations of nose (Q30),,0,0,0,—,—,—,—,—,—
Congenital malformations of larynx (Q31),,1,0,1,np,—,np,—,—,—
Congenital malformations of trachea and bronchus (Q32),,0,0,0,—,—,—,—,—,—
Congenital malformations of lung (Q33),,3,2,5,np,np,np,—,—,—
Other congenital malformations of respiratory system (Q34),,0,0,0,—,—,—,—,—,—
Cleft lip and cleft palate (Q35-Q37),,0,0,0,—,—,—,—,—,—
Cleft palate (Q35),,0,0,0,—,—,—,—,—,—
Cleft lip (Q36),,0,0,0,—,—,—,—,—,—
Cleft palate with cleft lip (Q37),,0,0,0,—,—,—,—,—,—
Other congenital malformations of the digestive system (Q38-Q45),,9,8,17,np,np,np,np,np,206
"Other congenital malformations of tongue, mouth and pharynx (Q38)",,0,0,0,—,—,—,—,—,—
Congenital malformations of oesophagus (Q39),,3,2,5,np,np,np,—,—,—
Other congenital malformations of upper alimentary tract (Q40),,0,0,0,—,—,—,—,—,—
"Congenital absence, atresia and stenosis of small intestine (Q41)",,0,0,0,—,—,—,—,—,—
"Congenital absence, atresia and stenosis of large intestine (Q42)",,0,0,0,—,—,—,—,—,—
Other congenital malformations of intestine (Q43),,5,2,7,np,np,np,np,np,np
"Congenital malformations of gallbladder, bile ducts and liver (Q44)",,1,4,5,np,np,np,np,np,np
Other congenital malformations of digestive system (Q45),,0,0,0,—,—,—,—,—,—
Congenital malformations of genital organs (Q50-Q56),,0,0,0,—,—,—,—,—,—
"Congenital malformations of ovaries, fallopian tubes and broad ligaments (Q50)",,0,0,0,—,—,—,—,—,—
Congenital malformations of uterus and cervix (Q51),,0,0,0,—,—,—,—,—,—
Other congenital malformations of female genitalia (Q52),,0,0,0,—,—,—,—,—,—
Undescended testicle (Q53),,0,0,0,—,—,—,—,—,—
Hypospadias (Q54),,0,0,0,—,—,—,—,—,—
Other congenital malformations of male genital organs (Q55),,0,0,0,—,—,—,—,—,—
Indeterminate sex and pseudohermaphroditism (Q56),,0,0,0,—,—,—,—,—,—
Congenital malformations of the urinary system (Q60-Q64),,40,34,74,0.3,0.2,0.3,258,132,390
